sample,likelihood,posterior,coal_rate_1,coal_rate_2,coal_rate_3,backward_migration_rate_2_1,backward_migration_rate_3_1,backward_migration_rate_1_2,backward_migration_rate_3_2,backward_migration_rate_1_3,backward_migration_rate_2_3,st_radius
4200,-24.74374,-14.96973,0.2579078,0.6738911,0.4953148,0.02125845,0.03688014,0.07015676,0.1331389,0.04845812,0.007471092,5.416797
4300,-26.90833,-16.31789,0.9504909,0.6823119,1.421631,0.03236687,0.01802537,0.01761878,0.07633259,0.06319144,0.006462854,5.515546
4400,-22.89617,-14.88825,0.2964178,0.7267028,1.606326,0.01185567,0.01798066,0.05207238,0.04453843,0.1636041,0.026047,5.479193
4500,-26.32527,-16.94886,0.3843675,0.7295853,0.348026,0.004445693,0.05566985,0.0952775,0.1256994,0.04601065,0.001203969,5.457018
4600,-26.11798,-12.29393,0.3484665,0.7700255,0.03783454,0.04015561,0.05061116,0.01209554,0.01679712,0.006561657,0.07565205,6.261613
4700,-26.73173,-12.62495,0.1024675,0.9100141,0.5429111,0.001184998,0.01498955,0.04062296,0.06259594,0.04840366,0.006111826,6.420094
4800,-33.08683,-20.62953,0.5841182,0.4702003,0.05990142,0.05345989,0.03061388,0.1065636,0.01410578,0.03063597,0.011824,6.468675
4900,-34.26305,-24.53557,0.4511347,0.1807063,0.6720306,0.03881585,0.03417166,0.1641815,0.01965836,0.06575836,0.002120892,7.089057
5000,-30.53665,-17.55831,0.411313,0.9935131,0.8462087,0.0456161,0.02497598,0.03186764,0.05635625,0.006703954,0.01103705,6.534599
5100,-23.2171,-12.47507,0.7624104,0.8874525,1.187252,0.004000295,0.000391903,0.09765812,0.06002524,0.03617792,0.02128673,6.528818
5200,-35.34325,-25.16917,0.9388299,1.262577,0.3650757,0.01671794,0.01400561,0.002232865,0.142047,0.01983359,0.05559313,6.012953
5300,-31.08174,-15.75979,1.407143,0.7652251,0.3643297,0.00201907,0.005699866,0.004516076,0.0300168,0.01772343,0.02868837,5.776833
5400,-29.7743,-15.43374,0.5352964,0.788225,2.012359,0.03813384,0.005125964,0.004576796,0.008661524,0.01054132,0.01468048,5.817789
5500,-31.6816,-16.24131,0.7359034,0.2272037,0.1265657,0.05042902,0.007406567,0.02670122,0.02327113,0.03902253,0.006982451,5.877712
5600,-27.2892,-14.93247,0.6275451,0.9050421,0.3699624,0.01474434,0.02087399,0.005919037,0.02271162,0.1167767,0.03182901,5.732115
5700,-29.94802,-20.48932,0.5109559,1.066161,0.8847608,0.02793024,0.03124718,0.009205954,0.06374089,0.09942565,0.04653809,5.556951
5800,-25.49092,-9.193072,0.2460789,0.6857611,0.8085981,0.0186673,0.004219611,0.009587439,0.0240099,0.03254492,0.006613225,5.448104
