sample,likelihood,posterior,coal_rate_1,coal_rate_2,coal_rate_3,backward_migration_rate_2_1,backward_migration_rate_3_1,backward_migration_rate_1_2,backward_migration_rate_3_2,backward_migration_rate_1_3,backward_migration_rate_2_3,st_radius
4200,-69.64236,-56.44885,0.2002541,0.1721217,0.5826843,0.02184107,0.045653,0.109306,0.0264313,0.006981879,0.02123107,13.71842
4300,-56.48929,-51.96714,1.867349,0.2642034,0.7635509,0.03181221,0.06833763,0.1257589,0.007604298,0.08875685,0.09167575,13.18283
4400,-59.44874,-47.82146,1.176641,0.09504575,0.8087973,0.07401837,0.05997729,0.03672186,0.004220507,0.00885754,0.0437099,13.01768
4500,-69.53032,-57.67476,0.5515437,0.3514215,1.584615,0.03715903,0.06461,0.04661909,0.02311895,0.005656674,0.02372157,13.69679
4600,-60.01772,-51.55073,1.387191,0.4717249,0.9721941,0.04651847,0.0690623,0.1163384,0.009026241,0.02395108,0.0270474,12.9205
4700,-50.97793,-41.65923,0.4630603,0.3627322,0.8809554,0.02134994,0.1631856,0.06831891,0.03135597,0.003025079,0.03124619,12.48859
4800,-77.3156,-61.3499,0.2546566,0.1461041,0.6138113,0.006746833,0.04283209,0.05395443,0.0008227263,0.02631386,0.01006362,11.18181
4900,-65.82527,-51.79785,0.258466,0.2611047,0.2665588,0.00215219,0.06255773,0.09229205,0.008423122,0.02537984,0.02224842,10.36822
5000,-66.98961,-56.42314,0.373106,0.08170769,0.2657342,0.005978578,0.1443682,0.05782571,0.0164743,0.02157085,0.07966852,9.461783
5100,-71.79787,-61.94575,0.768665,0.4779225,0.2014647,0.002136946,0.02166049,0.1205615,0.04732243,0.02820693,0.09400211,8.608125
5200,-57.49676,-46.1029,0.7005761,0.4620734,0.2793549,0.007762095,0.03577321,0.06836175,0.04446183,0.06075792,0.04818925,8.692202
5300,-32.89688,-18.07874,0.9145844,0.5333895,0.1848351,0.0429515,0.004888254,0.01727093,0.02087657,0.04377957,0.01790627,10.70997
5400,-46.39085,-35.22273,0.7880635,0.4712008,0.4776179,0.1123293,0.02221507,0.004174198,0.02697285,0.07949773,0.01323202,11.89909
5500,-44.58453,-31.25962,0.8209917,0.1610169,0.9590353,0.04502839,0.01408837,0.00464669,0.06119628,0.03924728,0.01612389,11.52169
5600,-52.86019,-37.90675,0.2472109,0.2081242,0.5842828,0.04890513,0.01655333,0.02842465,0.01090403,0.04763243,0.01920972,11.72464
5700,-47.09997,-35.72848,2.424043,0.1787167,1.397235,0.01364086,0.001652834,0.006182776,0.04544237,0.06818112,0.009115957,12.29241
5800,-42.98884,-31.57179,2.711284,0.1859249,0.1118206,0.05430514,0.003902228,0.09024906,0.004491383,0.0228796,0.01412955,13.62181
5900,-54.40113,-45.71254,1.562248,0.2074259,0.1714984,0.03949373,0.02667209,0.0980802,0.02920665,0.07489777,0.05894322,15.52187
6000,-76.40158,-69.40358,0.2266181,0.4984941,0.2487743,0.005353675,0.03716423,0.1104304,0.1135016,0.04046544,0.1200266,15.57166
6100,-76.64291,-66.06652,0.1565057,0.3662475,0.105982,0.007068762,0.05228836,0.1197469,0.049311,0.002435116,0.09909351,14.28578
6200,-55.02381,-50.93448,0.04425094,0.41701,0.1015086,0.03510795,0.05058556,0.2320672,0.008360751,0.06119179,0.1514074,12.90299
6300,-65.84461,-55.00845,0.2484482,0.6502426,0.2394589,0.005484997,0.01451398,0.2106714,0.004182485,0.004549549,0.05805065,11.86256
6400,-68.97264,-61.16555,0.313598,0.5888677,0.2022365,0.03354734,0.09547987,0.1201585,0.009526508,0.002121612,0.1342312,10.80592
